Person_No,Weight (KG),Height (CM)
Person1,67,176
Person2,69,178
Person3,61,170
Person4,60,169
Person5,65,174
Person6,62,168
Person7,63,171
Person8,61,170
Person9,63,172
Person10,53,163
Person11,63,169
Person12,69,176
Person13,65,171
Person14,53,163
Person15,61,171
Person16,59,169
Person17,67,176
Person18,61,170
Person19,54,162
Person20,60,170
Person21,60,169
Person22,68,177
Person23,65,170
Person24,54,162
Person25,60,170
Person26,55,164
Person27,69,177
Person28,63,169
Person29,54,164
Person30,63,168
Person31,64,170
Person32,65,169
Person33,69,177
Person34,64,170
Person35,62,169
Person36,71,179
Person37,54,162
Person38,62,171
Person39,54,162
Person40,68,177
Person41,52,161
Person42,62,172
Person43,59,169
Person44,69,178
Person45,64,170
Person46,68,177
Person47,63,172
Person48,61,171
Person49,68,176
Person50,68,176
Person51,54,163
Person52,53,163
Person53,66,171
Person54,62,171
Person55,59,169
Person56,63,170
Person57,64,170
Person58,53,162
Person59,54,165
Person60,67,176
Person61,67,176
Person62,55,163
Person63,68,176
Person64,67,176
Person65,69,177
Person66,63,168
Person67,60,169
Person68,67,176
Person69,60,170
Person70,64,169
Person71,52,162
Person72,61,171
Person73,52,161
Person74,68,176
Person75,52,162
Person76,69,177
Person77,64,170
Person78,64,169
Person79,61,170
Person80,61,170
Person81,54,163
Person82,62,171
Person83,54,163
Person84,62,171
Person85,60,169
Person86,64,170
Person87,53,162
Person88,54,164
Person89,66,176
Person90,54,163
Person91,54,163
Person92,55,164
Person93,68,176
Person94,54,163
Person95,59,169
Person96,61,170
Person97,67,175
Person98,70,178
Person99,67,176
Person100,61,170
Person101,52,162
Person102,55,163
Person103,67,174
Person104,54,164
Person105,61,170
Person106,59,169
Person107,62,168
Person108,68,176
Person109,61,170
Person110,55,163
Person111,54,163
Person112,63,169
Person113,54,163
Person114,55,163
Person115,68,176
Person116,53,162
Person117,67,175
Person118,59,170
Person119,65,170
Person120,67,176
Person121,63,171
Person122,54,163
Person123,66,175
Person124,68,176
Person125,54,163
